id,delta acc
21_all,1.3
21_half,0.87
21_bias,0.12999999999999545
22_all,-0.06
22_half,0.1
22_quarter,-0.23
22_bias,-0.1599999999999966
23_all,1.16
23_half,1.19
23_quarter,0.78
23_bias,0.09000000000000341
24_all,0.87
24_half,0.59
24_quarter,0
24_bias,0.01999999999999602
25_all,0
25_half,0
25_quarter,-0.19
25_bias,0.15000000000000568
26_all,0.67
26_half,0.33
26_quarter,0.13
26_bias,-0.09000000000000341
27_all,1.37
27_half,0.82
27_quarter,0.38
27_bias,0.18000000000000682
28_all,0.02
28_half,0.2
28_quarter,-0.26
28_bias,-0.010000000000005116
29_all,0.65
29_half,0.54
29_quarter,0.08
29_bias,-0.09999999999999432
30_all,1.55
30_half,1.24
30_quarter,0.47
30_bias,0.04999999999999716
31_all,0.2
31_half,0.23
31_quarter,-0.16
31_bias,0.2599999999999909
32_all,1.12
32_half,1.5
32_quarter,0.52
32_bias,0.030000000000001137
33_all,0.44
33_half,0.52
33_quarter,0.46
33_bias,0.730000000000004
34_all,0
34_half,0.1
34_quarter,-0.16
34_bias,0.09999999999999432
35_all,1.12
35_half,0.51
35_quarter,0.1
35_bias,-0.18999999999999773
36_all,0.9
36_half,0.55
36_quarter,0.33
36_bias,1.4699999999999989
37_all,0.08
37_half,0.05
37_quarter,-0.13
37_bias,0.46000000000000796
38_all,-0.19
38_half,-0.18
38_quarter,0.05
38_bias,0.5
39_all,3.12
39_half,1.79
39_quarter,0.72
39_bias,2.1700000000000017
40_all,0
40_half,-0.06
40_quarter,-0.16
40_bias,0.9200000000000017
41_all,0.08
41_half,0.08
41_quarter,-0.26
41_bias,-0.030000000000001137